################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.2892989209112964E-01   2.9443062030289253E+00   1.9848767666451297E+00   1.7308789973793445E-01
         1          2   6.6795344745516028E-01   1.6832333282646981E+00   1.1850007589688984E+00   8.6258878326374397E-02
         1          3   6.4871122139336124E-01   2.2023065865485818E+00   1.4415678145094528E+00   1.3526860378049846E-01
         1          4   5.2711520240930376E-01   1.3061418576486636E+00   9.1529683281898411E-01   6.6901970533469649E-02
         1          5   3.5188770643690370E-01   1.2763988276706859E+00   8.0476076312026057E-01   8.5729934289362028E-02
         1          6   3.5458827324440678E-01   8.3074102531985905E-01   6.0128671586121862E-01   4.3090616656564405E-02
         1          7   1.8041221505351959E-01   7.1607087992200347E-01   4.1598217324026493E-01   5.1826793067949468E-02
         1          8   2.4920906063433212E-01   5.3734423939983700E-01   4.0870486765003416E-01   3.0171382662446612E-02
         1          9   2.1993803434231923E-01   4.7751303536424483E-01   3.6233333089460218E-01   2.9890363969132000E-02
         1         10   2.0818915714279310E-01   9.1096002684954758E-01   5.0043798260994499E-01   7.1054508854843754E-02
         1         11   1.4638429781052054E-01   3.7675958363832746E-01   2.7215506919748167E-01   2.4188772522943651E-02
         1         12   9.5208239066273584E-02   6.1068169194714506E-01   2.8546910443628626E-01   4.9947443829289950E-02
         1         13   6.8454060779336023E-02   3.1594547669123557E-01   1.8981415488580056E-01   3.0276525966168165E-02
         1         14   1.8246068727278821E-02   5.0187614456047858E-01   1.5148149189555582E-01   4.1968402292563073E-02
         1         15   4.6415171466893529E-03   2.6178069964541778E-01   8.2926654035154174E-02   3.1566784755439461E-02
         1         16   2.9660001777860021E-04   3.8258114448336772E-01   5.4023400728842375E-02   3.6694766081237090E-02
         1         17   4.5624439284406811E-04   3.6635452317340236E-02   1.2009583065858854E-02   3.6793899797575957E-03
         1         18   1.9133042060002879E-04   3.5914465726536823E-02   1.7090388312143080E-02   5.0346526875815287E-03
         1         19   1.6722606561131982E-02   1.9851582759563607E-01   8.3620663774532922E-02   1.5797478958122356E-02
         1         20   2.8436042244862842E-03   3.7851299104590355E-02   1.6902067211990394E-02   3.0235549502384343E-03
         1         21   2.1448947463324774E-04   4.2272126948526910E-02   1.5576494584482695E-02   4.8784133620000834E-03
         1         22   4.7518404595139042E-02   2.1341407733484993E-01   1.2411057421676845E-01   1.5869945703192886E-02
         1         23   4.0341939151967337E-04   2.1790364369495593E-02   5.6773542933561839E-03   1.8841193297821377E-03
         1         24   2.9492783395596292E-03   4.1683873969806017E-02   1.4838571172434766E-02   3.7226490448151205E-03
