################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2416645943668820E-01 a         1     0     1     1     1
  2.8874139913596547E-01 a         2     0     1     1     2
 -1.3687861293407108E-01 a         3     0     1     1     3
 -9.9415190868829295E-01 a         4     0     1     1     4
  6.2396788506860934E-01 a         5     0     1     1     5
 -2.9482522104825187E-01 a         6     0     1     1     6
 -3.9321031318177541E-01 a         7     0     1     1     7
  3.5014566666699759E-01 a         8     0     1     1     8
  9.1930658262184384E-02 a         9     0     1     1     9
  5.0553420179371278E-01 a        10     0     1     1    10
  1.1420745291846739E-01 a        11     0     1     1    11
  4.7758445412998500E-02 a        12     0     1     1    12
 -2.8290431570112518E-01 a        13     0     1     1    13
 -1.2796523450262227E+00 a        14     0     1     1    14
  6.1357780550910923E-01 a        15     0     1     1    15
 -1.6698708982172880E-01 a        16     0     1     1    16
 -1.2323015589708659E-01 a        17     0     1     1    17
  8.1910489253495866E-01 a        18     0     1     1    18
  1.3168549477748964E-01 a        19     0     1     1    19
  1.8219315762016000E-01 a        20     0     1     1    20
  1.7004530527160724E-01 a        21     0     1     1    21
 -1.0966837074799174E+00 a        22     0     1     1    22
  2.1741676115356728E-01 a        23     0     1     1    23
 -4.0207347757297796E-01 a        24     0     1     1    24
  2.9753520113479459E-01 a        25     0     1     1    25
  1.8499961604184361E-02 a        26     0     2     1     1
 -4.1081704292665328E-01 a        27     0     2     1     2
 -5.4823659158698648E-02 a        28     0     2     1     3
  8.4531399382358519E-01 a        29     0     2     1     4
 -1.0037634851064159E+00 a        30     0     2     1     5
  3.7296232222215081E-01 a        31     0     2     1     6
  1.1627734177911749E-01 a        32     0     2     1     7
 -4.1796426013779436E-01 a        33     0     2     1     8
  3.0982864387897985E-01 a        34     0     2     1     9
 -2.0477492265076783E-02 a        35     0     2     1    10
 -1.8170473833220951E-01 a        36     0     2     1    11
  1.5826489768611970E-01 a        37     0     2     1    12
  1.2606880067638919E+00 a        38     0     2     1    13
  1.4647907443010275E+00 a        39     0     2     1    14
 -6.3606849719596448E-01 a        40     0     2     1    15
  5.3889677288745075E-01 a        41     0     2     1    16
  2.5644714853423484E-01 a        42     0     2     1    17
 -6.8197721325043426E-01 a        43     0     2     1    18
  6.3360119733664455E-02 a        44     0     2     1    19
 -5.2690721212190694E-01 a        45     0     2     1    20
 -1.6286572144643002E-01 a        46     0     2     1    21
  1.6053631917315476E+00 a        47     0     2     1    22
 -1.0976491219039608E+00 a        48     0     2     1    23
  1.6492148489168270E-02 a        49     0     2     1    24
 -9.1929470690699025E-02 a        50     0     2     1    25
 -4.3521183893555214E-02 a        51     0     3     1     1
 -5.7315171175429347E-01 a        52     0     3     1     2
  3.1613071265914650E-01 a        53     0     3     1     3
  6.0243960454636192E-01 a        54     0     3     1     4
 -3.4524769809656006E-02 a        55     0     3     1     5
  8.5894847260678941E-01 a        56     0     3     1     6
  7.6875506567623753E-01 a        57     0     3     1     7
 -7.4448767537177518E-01 a        58     0     3     1     8
 -8.2957141857595784E-02 a        59     0     3     1     9
 -7.6566281897814514E-01 a        60     0     3     1    10
 -5.3393504016658586E-02 a        61     0     3     1    11
 -1.9714053094969092E-01 a        62     0     3     1    12
  2.8539445398667457E-01 a        63     0     3     1    13
  1.8022999554566670E+00 a        64     0     3     1    14
 -5.2762508239634154E-01 a        65     0     3     1    15
 -4.6269534550976582E-01 a        66     0     3     1    16
 -3.3827061901682415E-03 a        67     0     3     1    17
 -1.4611748987973823E+00 a        68     0     3     1    18
 -4.4404629551581315E-01 a        69     0     3     1    19
 -2.0413855093264269E-01 a        70     0     3     1    20
 -1.8279518548827980E-01 a        71     0     3     1    21
  1.2516528779571290E+00 a        72     0     3     1    22
  9.2333169154167349E-01 a        73     0     3     1    23
  7.7802543758188836E-01 a        74     0     3     1    24
 -5.4536384954089168E-01 a        75     0     3     1    25
 -6.2012108441392000E-01 a        76     0     4     1     1
  7.8148253444351645E-01 a        77     0     4     1     2
 -4.1051349010293647E-01 a        78     0     4     1     3
 -5.1780064854601304E-01 a        79     0     4     1     4
  9.7093883457174357E-01 a        80     0     4     1     5
 -1.2608697303083309E+00 a        81     0     4     1     6
 -2.6112770209893771E-01 a        82     0     4     1     7
  1.1470831180093040E+00 a        83     0     4     1     8
 -7.6323644397700230E-01 a        84     0     4     1     9
 -3.2700938250813764E-02 a        85     0     4     1    10
 -1.4679062928656073E-01 a        86     0     4     1    11
  9.7647664055693795E-03 a        87     0     4     1    12
 -2.0798442764173037E+00 a        88     0     4     1    13
 -1.8080038094936133E+00 a        89     0     4     1    14
  5.4246267113398217E-01 a        90     0     4     1    15
 -5.6412145261682933E-01 a        91     0     4     1    16
 -3.8387049638049286E-01 a        92     0     4     1    17
  1.4904359469906661E+00 a        93     0     4     1    18
  2.9337186195629750E-01 a        94     0     4     1    19
  3.1356941972288060E-01 a        95     0     4     1    20
 -2.8752857805159460E-01 a        96     0     4     1    21
 -2.0862550415864232E+00 a        97     0     4     1    22
  6.7841948200367297E-01 a        98     0     4     1    23
  8.4669392956014555E-02 a        99     0     4     1    24
  3.7909421498838758E-01 a       100     0     4     1    25
 -4.9194125820009066E-01 a       101     0     5     1     1
  4.2651763365862499E-01 a       102     0     5     1     2
  1.7217041914923170E-01 a       103     0     5     1     3
  2.8789791194757686E-01 a       104     0     5     1     4
 -9.4490397940137105E-01 a       105     0     5     1     5
 -6.0980256643481023E-01 a       106     0     5     1     6
 -3.0686712674299693E-01 a       107     0     5     1     7
  3.3840951006166886E-01 a       108     0     5     1     8
 -4.5776838783525126E-01 a       109     0     5     1     9
  5.5585654220615344E-01 a       110     0     5     1    10
  6.1137414420786707E-01 a       111     0     5     1    11
  2.9780353924200059E-01 a       112     0     5     1    12
  6.8745566774518752E-01 a       113     0     5     1    13
 -1.5426868833256053E+00 a       114     0     5     1    14
  6.6895326552212520E-01 a       115     0     5     1    15
  9.7413037291225711E-03 a       116     0     5     1    16
 -5.6868068482971990E-03 a       117     0     5     1    17
  3.4372594800571149E-01 a       118     0     5     1    18
  5.4011213563406532E-02 a       119     0     5     1    19
  4.9215829477692019E-01 a       120     0     5     1    20
  1.1512866013476439E+00 a       121     0     5     1    21
  2.3831323578750604E-01 a       122     0     5     1    22
 -5.5532196754408525E-01 a       123     0     5     1    23
 -4.1307464033739744E-01 a       124     0     5     1    24
 -5.2494517819089238E-02 a       125     0     5     1    25
  6.7049439618707785E-01 a       126     0     6     1     1
 -9.9059483138336979E-01 a       127     0     6     1     2
  4.2335728218408009E-01 a       128     0     6     1     3
